Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.062937066	0.19163902	1.0	0.0	18.884615	0.07900804	0.00036125234	0.079619065	0.07745548	500	-0.32164857	0.0046435846	-0.009909958	-0.00019824691	1.6082428	0.0156761	0.818	6.0	1.2440216541290283
1	0.08080808	0.22654203	1.0	0.0	26.0	0.06929627	0.0005209487	0.07073861	0.06858666	1000	-0.31974813	0.004466721	-0.003523618	-3.7317164e-05	1.5987407	0.003213114	0.0	15.0	2.171691656112671
2	0.06439394	0.19896281	1.0	0.0	20.375	0.06135117	0.0007853402	0.062965006	0.05979251	1500	-0.3177739	0.004387171	-0.0042480826	-0.000106981024	1.5888695	0.00038018584	0.002	15.0	3.267550230026245
3	0.10227273	0.23591521	1.0	0.0	29.0	0.047084495	0.00076486735	0.048908975	0.045972243	2000	-0.31419075	0.0041897967	-0.0014255941	-1.4233403e-05	1.5709537	0.0024106738	0.278	15.0	4.1514527797698975
4	0.10822511	0.29104304	1.0	0.0	22.714285	0.04065563	0.0014781653	0.043067776	0.038039528	2500	-0.30865368	0.0079720095	-0.0014930665	-6.0704537e-05	1.5432683	0.003057464	0.004	15.0	5.172541379928589
5	0.04848485	0.045353424	0.09090909	0.0	30.8	0.045187563	0.0025103306	0.049084935	0.039560527	3000	-0.30305788	0.00031905534	-0.0035948753	-4.9123162e-05	1.5152894	0.009170691	0.58	15.0	6.043182611465454
6	0.051948052	0.044988334	0.09090909	0.0	32.857143	0.038439102	0.006648561	0.04434417	0.017826766	3500	-0.29921708	0.004002752	-0.0027721524	-1.0880642e-05	1.4960854	0.010207788	0.474	15.0	6.8836681842803955
7	0.32467532	0.43014273	1.0	0.0	33.92857	0.027352562	0.010384419	0.042627253	0.0119323805	4000	-0.3070467	0.025529793	-0.0030248463	-0.0017875191	1.5352335	-0.004106858	0.004	15.0	7.639005899429321
8	0.080213904	0.2330962	1.0	0.0	27.470589	0.08495883	0.046506945	0.124648616	-0.0334291	4500	-0.30529577	0.0037815538	-0.0017218888	-0.0001739068	1.5264788	0.011219813	0.212	15.0	8.512487411499023
9	0.16233766	0.34391072	1.0	0.0	33.0	0.053795006	0.033201158	0.09529614	-0.01467371	5000	-0.3088021	0.0069740806	-0.002572924	-4.5908615e-05	1.5440105	-0.0013121018	0.16	15.0	9.282990455627441
10	0.11363637	0.27177864	1.0	0.0	20.25	0.055460133	0.0324022	0.091877356	-0.0126177445	5500	-0.30810073	0.0073033697	-0.0032458901	-0.00012429943	1.5405036	0.00075290084	0.002	15.0	10.343616008758545
11	0.13181818	0.29384175	1.0	0.0	23.9	0.06112523	0.03278788	0.092035696	-0.008576527	6000	-0.30295953	0.0073093236	-0.0016836226	-0.00011194777	1.5147976	0.0032132976	0.0	15.0	11.347851037979126
12	0.043062203	0.04539155	0.09090909	0.0	25.842106	0.0593831	0.01311804	0.08319843	0.032834932	6500	-0.2996004	0.0007214294	-0.004933983	-0.00022158946	1.4980019	-0.000907125	0.142	15.0	12.23232913017273
13	0.22966506	0.3993998	1.0	0.0	24.736841	0.024399782	0.01773807	0.0620147	0.0034817606	7000	-0.3085629	0.014408415	-0.0062535703	-0.00073168613	1.5428145	0.0015122333	0.072	15.0	13.10174822807312
14	0.09090909	0.23124865	1.0	0.0	27.411764	0.07057216	0.025337683	0.114258625	0.0026793405	7500	-0.293787	0.003814159	-0.0044504106	-0.00013109879	1.468935	0.0055414424	0.302	15.0	14.019458293914795
15	0.15151517	0.32319286	1.0	0.0	20.291666	0.05682327	0.037981685	0.13486758	-0.007532321	8000	-0.30175167	0.010376661	-0.0046426654	-0.00027588848	1.5087583	0.005553503	0.01	15.0	15.161194324493408
16	0.27272728	0.41460925	1.0	0.0	30.8	0.061240852	0.041429076	0.15781789	-0.004839435	8500	-0.3001823	0.022214519	-0.004870951	-0.0014244262	1.5009117	0.003572969	0.156	15.0	16.009615182876587
17	0.18181817	0.33841076	1.0	0.0	32.857143	0.098240785	0.045643814	0.19630459	0.0042941347	9000	-0.29903883	0.0074907416	-0.0050046444	-0.0003867508	1.4951941	0.0011909795	0.112	15.0	16.804826974868774
18	0.11363637	0.23509274	1.0	0.0	29.0	0.11004102	0.04715279	0.19145977	0.013857722	9500	-0.29612526	0.0043086237	-0.0074118376	-0.00039758766	1.4806263	0.009058467	0.17	15.0	17.672187566757202
19	0.1590909	0.32060766	1.0	0.0	29.1875	0.10448093	0.05002973	0.17345732	0.018579997	10000	-0.30461636	0.0070403796	-0.005017966	-0.00019033952	1.5230818	0.00047057663	0.14	15.0	18.534005880355835
20	0.020661158	0.038097292	0.09090909	0.0	21.681818	0.099546365	0.034329813	0.15259147	0.036042314	10500	-0.30135226	0.004639692	-0.007915914	-0.0004759594	1.5067613	0.0020882827	0.018	15.0	19.54041862487793
21	0.16969697	0.32839316	1.0	0.0	30.8	0.07358563	0.032059968	0.11601342	0.017905064	11000	-0.30449203	0.007090457	-0.008527964	-3.5559293e-05	1.5224601	0.00457128	0.074	15.0	20.365493774414062
22	0.12121213	0.26848552	1.0	0.0	38.0	0.06190336	0.030586787	0.11402732	0.014420189	11500	-0.30598134	0.006820146	-0.0048083067	-6.641215e-05	1.5299066	0.01657839	0.436	12.0	21.02335286140442
23	0.15454546	0.28473565	1.0	0.0	50.0	0.05872323	0.023089236	0.11646194	0.0021510422	12000	-0.3104835	0.003560076	-0.0032629669	-9.981566e-05	1.5524174	0.0041744756	0.114	15.0	21.64647650718689
24	0.22077921	0.34482905	1.0	0.0	33.5	0.0577479	0.035900354	0.12581395	0.0023274273	12500	-0.30326647	0.020671895	-0.00894478	-0.00094637834	1.5163323	0.006918026	0.152	15.0	22.47313141822815
25	0.17482519	0.35382125	1.0	0.0	35.46154	0.07280655	0.045456838	0.15493663	-0.010312989	13000	-0.3100483	0.0065098354	-0.0049184263	-0.0002103867	1.5502416	0.0033881024	0.242	15.0	23.164966106414795
26	0.19480518	0.33110517	1.0	0.0	32.857143	0.081422955	0.068009764	0.1825147	-0.0015875623	13500	-0.30381307	0.0065248455	0.0018708706	-0.00014328165	1.5190653	0.020394696	0.662	2.0	23.923774242401123
27	0.6272727	0.4571742	1.0	0.0	45.2	0.02987804	0.039904278	0.15055618	-0.005689524	14000	-0.31063074	0.018016782	0.0004912913	-0.0029207738	1.5531536	0.01609657	0.536	4.0	24.536153078079224
28	0.28787878	0.4130004	1.0	0.0	38.0	0.124525145	0.064075336	0.28395772	0.018456712	14500	-0.30123848	0.009391905	-0.009528339	0.00014376175	1.5061923	0.00021885586	0.104	15.0	25.287614583969116
29	0.35664335	0.43005574	1.0	0.0	35.23077	0.12166081	0.08641124	0.28663608	0.014525451	15000	-0.30340236	0.011068888	-0.008256495	-0.0005411869	1.5170118	-0.0006671722	0.2	15.0	26.010054111480713
