Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.009598604	0.07662008	0.6666667	0.0	2.6125655	0.07886726	0.00044428263	0.079619065	0.07698592	500	-0.3216479	0.00956798	-0.008772463	-0.0050840587	1.6082397	0.015677886	0.802	7.0	7.520318269729614
1	0.026515152	0.12618053	0.8333333	0.0	3.7878788	-0.0042022583	0.00050758716	-0.002344139	-0.005562991	1000	-0.3197502	0.01043396	-0.0067601204	-0.00056697614	1.5987508	0.0054863486	0.206	15.0	12.939110040664673
2	0.035440616	0.15351988	1.0	0.0	2.8678162	0.013870286	0.0007102649	0.017202757	0.012794696	1500	-0.31742525	0.039488535	-0.0034231246	-0.0012235194	1.587126	0.006915571	0.178	15.0	19.59523320198059
3	0.032326005	0.13670383	0.8	0.0	2.7362638	0.0527023	0.00070193165	0.054880135	0.05128157	2000	-0.313909	0.014504758	-0.00945878	-0.0007856786	1.5695449	0.0036696808	0.182	15.0	25.379552602767944
4	0.029914532	0.1418327	1.0	0.0	3.1858974	0.033478312	0.00052462256	0.03576475	0.03218866	2500	-0.30966505	0.019782932	-0.002737403	-5.269237e-05	1.5483252	0.0026303714	0.122	15.0	31.252947092056274
5	0.032015067	0.14254266	1.0	0.0	2.8135593	0.026118487	0.00084413495	0.028461084	0.02415488	3000	-0.30483228	0.02483673	-0.0016684234	-6.771088e-05	1.5241613	0.0008871989	0.0	15.0	37.363346338272095
6	0.046464648	0.15416537	0.6666667	0.0	3.0242424	0.031171214	0.0008685474	0.03400641	0.029565997	3500	-0.3028152	0.015990451	-0.0031383634	-1.1015683e-05	1.5140759	0.016589973	0.702	7.0	43.39504146575928
7	0.03975096	0.14370131	0.75	0.0	2.729885	0.03121288	0.00078558404	0.034307525	0.029688515	4000	-0.29022032	0.014515259	-0.0018934608	-3.5929494e-05	1.4511015	0.003303092	0.094	15.0	49.53130650520325
8	0.034438774	0.13671383	0.75	0.0	2.5510204	0.029538093	0.00093254587	0.033515126	0.027476639	4500	-0.29065827	0.014667197	-0.002360791	-5.6470744e-05	1.4532913	0.0016030205	0.0	15.0	57.17544913291931
9	0.05978261	0.17498536	0.75	0.0	2.701087	0.02857409	0.0017699591	0.03459569	0.025673531	5000	-0.28721648	0.023029229	-0.0056592226	-0.0004096534	1.4360824	0.005667892	0.204	15.0	63.45992040634155
10	0.055243447	0.17861821	0.75	0.0	2.713483	0.043875106	0.003062416	0.05436804	0.038789745	5500	-0.27905282	0.02286369	-0.0018271208	-0.00045604818	1.3952641	0.00033964645	0.006	15.0	69.2695243358612
11	0.041423004	0.15277758	0.75	0.0	2.754386	0.040520553	0.00719856	0.07361323	0.02904914	6000	-0.27307823	0.015780509	-0.0021283925	-0.0006223172	1.3653911	0.0021516162	0.068	15.0	75.05167007446289
12	0.04733728	0.16461602	1.0	0.0	2.9526627	0.02544371	0.018011488	0.09204341	-0.0002508834	6500	-0.27617508	0.023326142	-0.003959924	-0.00047488324	1.3808753	-0.0014960838	0.0	15.0	81.08972907066345
13	0.056924887	0.1676525	0.75	0.0	3.4366198	0.028773846	0.02632326	0.12479034	-0.0023770109	7000	-0.27909335	0.014998451	-0.0068745017	-0.00055313297	1.3954668	0.0066774143	0.026	15.0	86.70582389831543
14	0.06255555	0.18517196	0.8	0.0	3.3266666	0.03437593	0.038547006	0.2520933	-0.015568763	7500	-0.2730512	0.019612942	-0.0070860684	-0.0005443115	1.365256	0.005917416	0.116	15.0	92.45182967185974
15	0.053030305	0.17007533	0.75	0.0	4.123967	0.032398034	0.04083865	0.18882972	-0.019372381	8000	-0.27240506	0.013660233	-0.0059857965	-0.00035562553	1.3620253	0.016529676	0.476	5.0	96.85702443122864
16	0.040229887	0.1494253	0.6666667	0.0	3.4413793	0.036297113	0.03994449	0.19247639	-0.019061826	8500	-0.2867882	0.012811188	-0.009246737	-0.0006543044	1.433941	0.0010856075	0.002	15.0	102.35473966598511
